feature,coefficient
has_mortgage_insurance,-0.22164107670765656
is_investment_property,0.11128820357857513
original_interest_rate,0.06258117943352018
was_modified,-0.026906392232381025
unemployment_rate,-0.00930129038315879
original_ltv,0.00798691291047005
is_condo,0.005866565867826066
original_cltv,-0.003515718349387196
hpi_national,0.0018482389146073058
dti,-0.00034435070823400236
borrower_credit_score,-0.00016178914030212207
loan_age_at_default,-0.00012712883309482024
original_upb,-9.549066699753954e-07
