feature,coefficient
original_loan_term_woe,-1.0630386316314613
is_cashout_refi_woe,-0.9019361661208275
has_coborrower_woe,-0.8655661687015771
dti_woe,-0.7341420749391222
has_mortgage_insurance_woe,-0.6967071348276541
original_interest_rate_woe,-0.6569176163655878
borrower_credit_score_woe,-0.5501040712965861
fico_x_unemployment_woe,-0.4809542843603755
original_ltv_woe,-0.4141515523626774
original_cltv_woe,-0.40660614941694745
